epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,3757.43,1.05418,1.09972,1.01345,0.70365,0.68634,0.77648,0.44657,1.79711,1.57282,1.43342,0.000150946,0.000150946,0.000150946
137,3780.17,1.09898,1.1338,1.01763,0.70365,0.68634,0.77648,0.44657,1.79711,1.57282,1.43342,0.000148694,0.000148694,0.000148694
138,3804.14,1.04957,1.0937,1.00478,0.67974,0.69304,0.78966,0.45656,1.76618,1.55042,1.42236,0.000146442,0.000146442,0.000146442
139,3829.02,1.07488,1.10983,0.9927,0.67974,0.69304,0.78966,0.45656,1.76618,1.55042,1.42236,0.00014419,0.00014419,0.00014419
140,3852.69,1.14398,1.22812,1.04133,0.6838,0.69516,0.78875,0.44997,1.76363,1.54694,1.42187,0.000141937,0.000141937,0.000141937
141,3874.72,1.12677,1.18033,0.99912,0.6838,0.69516,0.78875,0.44997,1.76363,1.54694,1.42187,0.000139685,0.000139685,0.000139685
142,3899.18,1.10023,1.16112,1.01805,0.69422,0.68558,0.78628,0.4528,1.76521,1.55478,1.42048,0.000137433,0.000137433,0.000137433
143,3920.65,0.99111,1.04755,0.98188,0.69422,0.68558,0.78628,0.4528,1.76521,1.55478,1.42048,0.000135181,0.000135181,0.000135181
144,3941.86,1.15542,1.1678,0.99997,0.6943,0.6652,0.8005,0.43923,1.7671,1.53085,1.40176,0.000132928,0.000132928,0.000132928
145,3975.31,1.05992,1.12425,1.01432,0.6943,0.6652,0.8005,0.43923,1.7671,1.53085,1.40176,0.000130676,0.000130676,0.000130676
146,4009.49,1.04214,1.03805,0.97672,0.71846,0.65492,0.79675,0.4325,1.79932,1.53682,1.42214,0.000128424,0.000128424,0.000128424
147,4031.62,1.07652,1.09716,1.02531,0.71846,0.65492,0.79675,0.4325,1.79932,1.53682,1.42214,0.000126172,0.000126172,0.000126172
148,4052.83,1.07605,1.05727,0.98701,0.72804,0.63694,0.80497,0.43817,1.79357,1.52546,1.41695,0.000123919,0.000123919,0.000123919
149,4073.31,1.01882,1.07427,1.00452,0.72804,0.63694,0.80497,0.43817,1.79357,1.52546,1.41695,0.000121667,0.000121667,0.000121667
150,4094.5,1.0377,1.07293,0.97952,0.75883,0.64546,0.80575,0.44231,1.76793,1.47905,1.40597,0.000119415,0.000119415,0.000119415
151,4115.83,1.13705,1.12856,0.99763,0.75883,0.64546,0.80575,0.44231,1.76793,1.47905,1.40597,0.000117163,0.000117163,0.000117163
152,4137.76,1.08281,1.13651,0.98244,0.76591,0.64813,0.80327,0.4414,1.75814,1.44726,1.39865,0.00011491,0.00011491,0.00011491
153,4158.38,1.02202,1.02624,0.975,0.76591,0.64813,0.80327,0.4414,1.75814,1.44726,1.39865,0.000112658,0.000112658,0.000112658
